session,alpha_T7,alpha_T8,beta_T7,beta_T8,theta_T7,theta_T8
0,0.7307729178406417,0.6732432585685164,1.2524465958992783,1.254658256756156,0.7056160341979698,1.4098705641090195
1,0.7020988198725819,0.6222189852542575,1.2025340911205853,1.8311544679072094,1.2867537143802474,1.173686041598659
2,0.6299612043043123,0.5614773305216734,1.1987463633089883,1.507172320294946,0.9779987914992917,1.326477184437081
3,0.6547069595929983,0.5617726370945493,1.7873877570589016,1.3040557289109451,0.7895526541867981,1.2791024815600087
4,0.4381885675624189,0.6285528926691778,1.6473934757569457,1.5189310583036106,1.1018364647106489,0.7570683799140963
5,0.7699682643804073,0.642799597262634,1.1046565648896256,2.016556101756475,0.8576447922534354,0.8372732818690958
6,0.4718067209912562,0.6028048579906744,1.4851435550370684,1.6190629559523535,1.0332027243133333,1.024462195240254
7,0.8061883373330132,0.5030607782513277,1.095120268093082,1.8783552302231676,1.1351591586122844,1.301798617404452
8,0.7788559287852073,0.5382459122280737,1.2657186283276167,1.6729570544277244,0.9778040576722138,1.2725804693520486
9,0.6887280963310598,0.4710186762891363,1.6435304737710692,1.1518722735533777,1.146126762016895,1.2144686906844842
10,0.859593013379035,0.4790804758616241,1.2631144312059799,1.4729172329021563,1.1358077185696513,1.3875867430473559
11,0.7391984210411237,0.6026849428786748,1.6591411230430315,2.0659371565320526,0.8316060417620447,1.1987587372837578
12,0.7957146268942032,0.6092602068389692,1.7615287172968506,1.4097734480548143,0.8992272714947482,1.3880303176545796
13,0.35061464284328614,0.5486180499032824,1.9962520614709331,1.5070857690500072,1.1708373185522567,0.9944530871777214
14,0.6970784556172597,0.5846425250674337,1.8683007813804862,1.2272777674925035,0.553170798039454,1.2878366428144068
15,0.8953019920023074,0.5256241200565221,0.9404705927182705,1.2103381011753356,1.1858467887912194,1.0785521360601402
16,0.7053395138341451,0.34538821039390005,1.268868514793631,1.7128318882258928,1.0475972492355505,0.9788068680643721
17,0.8325431375309871,0.7065936767087535,1.2827179035807748,1.2997051203090069,1.353056236964167,1.081215451878964
18,0.6794163441795816,0.7945044483290509,1.4470887781392097,1.3662364683819472,0.7086702272989707,1.2076477984503813
19,0.6890896054051957,0.532625123556612,1.6332378551342344,1.151318313785554,0.786590474304541,1.0297564568198216
20,0.6931441310330372,0.4347665151600819,1.095415035169486,1.2629094060395378,1.0819452960390812,1.0336437854390041
21,0.8142135131570274,0.3528654649591608,1.4807900016074518,1.3156666191351851,1.173885273947747,1.606821891204972
22,0.6794359132980935,0.6111349476103247,1.5869758390257074,1.1163844614966576,1.212535232457079,1.3560287226970866
23,0.6712010784648598,0.6606172206079551,1.4093022878223749,1.2692653924437494,0.821643538058735,1.3922279994061248
24,0.9128920396911149,0.5053033298013242,1.4701387090731632,1.1481358731354439,0.9893274413659172,1.0739627536654899
25,0.5454596486780198,0.5826218468908521,1.6283411940102748,1.6283983057708524,0.9810887704981972,1.4893806744331444
26,0.7172886446785909,0.7859234157201044,1.0508321966030556,2.293677004459447,1.0497879522409441,0.9280758157832085
27,0.556056806703654,0.6926373516935087,1.60931364159432,1.6993822992167593,1.2059642952981948,0.9407133152547673
28,0.6727421984918347,0.3424563213655257,1.1617072510870443,1.6620285917240565,0.7144089028152105,1.6985715939886672
29,0.8513854514935421,0.46940421454266257,1.5670694668705154,1.6337874326661335,1.0607909825015696,1.3147719697197662
