session,alpha_T7,alpha_T8,beta_T7,beta_T8,theta_T7,theta_T8
0,1.2590559006183708,1.6163688223424453,1.0326752777764088,1.0022816155178218,0.8659395148614376,0.7405269557311386
1,1.0582912357907197,1.436980231865622,1.0376168896193267,0.8539236441406034,0.866178789239926,0.7147878113635542
2,1.018017621317056,1.6428360420545858,1.0709180474804463,0.9159768104653229,0.7373944721642337,0.7183630299771172
3,1.139270187519344,1.731885980156231,1.0722034422659203,0.8182568238329095,0.7601782915037634,0.7423999189567333
4,0.9132553537707315,1.7243566097571787,0.9160550111665002,0.862040192050401,0.9154671947399327,0.6954861978521175
5,1.066793294041094,1.6450260965083525,0.9906055099510678,0.8436681881105078,0.8199886036295803,0.8495780883751047
6,1.201159380931044,1.6700649173790767,1.0257284206150468,0.9718010162801126,0.8499270505426533,0.6400285082008584
7,1.1557763773271772,1.6083580674383575,1.1715856682043246,0.8810031570435033,0.9001409438201572,0.6191020611180359
8,1.1344203942418853,1.4861694765180182,0.9122621193459434,0.9706790452309786,0.7213485759507879,0.6903323267166697
9,1.0227817615183188,1.6633473388066635,1.0277618670864592,0.7051697021094162,0.8561030133497304,0.657342826250127
10,1.3208584681510596,1.7414787619700998,1.0956651501884762,0.6882702021683275,0.9402970235973428,0.7046958176471546
11,0.9569633978333699,1.6531573721648412,1.1298695262494487,0.7611917524268577,0.8855320975107304,0.6794068546466511
12,1.041585367473744,1.5376128544292471,0.9213869487426791,0.9197399703732252,0.8213749978761318,0.7728545036307123
13,1.2530234372676423,1.553197344592848,1.1073875533588928,0.7996731818758654,0.8514270373359163,0.6263626639948181
14,1.0417148338101876,1.697480535943946,0.9298218357431717,0.944648690846036,0.6877971537651069,0.6526802973367712
15,1.158838995116656,1.8361453744290093,0.8888065350570487,1.039146506388724,0.8214572702417889,0.8547965621519016
16,1.068813372588845,1.5230425245693628,1.0325777172358466,0.8064029022838417,0.810560064310799,0.6963071594072967
17,1.242545787460628,1.6545379999085381,0.8790716993749095,0.7861574733968919,0.7261778181562163,0.5603433495362442
18,0.8712291973111759,1.9303829090359592,0.9197620482417772,1.0135745017788311,0.7428108878841283,0.6728810865774731
19,0.8821394701153218,1.7471906553358354,0.9958747792426235,1.0775062231908024,0.7511979391029914,0.7933767044698957
20,1.1924773623322122,1.2662190788403334,1.1121772724910104,0.8699002031751815,0.7207292910728686,0.7180490418131698
21,1.0882976299353828,1.6675201620484104,1.067002133924372,1.0780626014658217,0.8605189216463571,0.7134691168957443
22,0.8685381753716263,1.4183828314045333,1.4796689874724476,0.937272552675596,0.8078545191495887,0.6569742987048941
23,1.0917965449338778,1.6559243687413632,1.2985910719459988,1.2257144764991357,0.8203074495506559,0.8388490401817332
24,0.8265234343090471,1.5781023849850353,1.3465498114897705,1.0238648284631173,0.9061086025266919,0.6527264774768742
25,0.738287362241532,1.0752672276462296,1.122911117713801,1.0072054499406138,0.8274800591367854,0.8526546053529394
26,0.8389758103965991,1.1258095634611924,1.3326107780432628,1.116318948512527,0.8485054257668185,0.7635853723346843
27,0.8918291643320949,1.1185510810561599,1.2735211586840816,1.2517409933651522,0.8164900926293488,0.7238142603559606
28,0.8563086822170912,1.2638914185508128,1.2997443728138887,1.2485800532492375,0.8511877675578752,0.6537807623849756
29,0.8738042939710331,1.0287408672496108,1.6705440385976464,1.2543733038645963,0.8347974166175657,0.8096037257696809
